pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
110,Graphical chart,-13,Blue,,21,NA,They have won the past 3 years so I assume the Blue party is made up of the popular students.,0,NA,I don't think it matters who did it as long as the results are true and accurate.,NA,NA,55 - 64,2 year degree,"If someone prefers getting information from a graph or a detailed text?
",,GreenLeft,Blue,Title,Control,None,Bar
111,Graphical chart,-13,,Green,NA,6,The green party is exhibiting steady growth whereas the blue party is more stagnant,NA,0,Can not be determined based on the information provided.,NA,NA,18 - 24,4 year degree,,,BlueLeft,Green,Annotation,Control,Blue,Bar
112,Text,14,Blue,,8,NA,Each year green gets more votes and blue stays about the same,-9,NA,Green improves more than blue,-5,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,3,Blue,Bar
113,Graphical chart,-24,,Blue,NA,-24,"Every year so far blue has won, so based on likelihood blue will win again.",NA,0,"I'm not sure who could have made this chart, either party.",NA,-3,25 - 34,4 year degree,,Nice survey,BlueLeft,Blue,Title,2,Blue,Bar
114,Graphical chart,0,Green,,-12,NA,each year green has been gaining popularity.  ,0,NA,I believe they were giving facts and not opinion.,0,NA,35 - 44,4 year degree,,,GreenLeft,Green,Title,2,Blue,Bar
116,Graphical chart,-25,,Blue,NA,-22,Blue has won the last 3 years,NA,0,No reason to believe it was anything other than a neutral party,NA,0,75 - 84,Professional degree,The difference in desirability and effectiveness between graphical charts and word charts.,Is there really a question about whether or not graphical charts are better?,BlueLeft,Blue,Annotation,4,Green,Bar
118,Graphical chart,-12,Blue,,3,NA,"If green increases at the same rate as it has been, it looks like it will be just below where blue is at ",0,NA,"I really don't know who the author was, so I can't say one way or the other. ",0,NA,25 - 34,2 year degree,,,GreenLeft,Blue,Title,4,Green,Bar
119,Text,25,Blue,,20,NA,"Over the previous years, blue has always been in the lead.",0,NA,They provided student election votes without any biases.,0,NA,18 - 24,Some college,,,GreenLeft,Blue,Annotation,3,Green,Bar
120,Text,14,,Blue,NA,-18,Blue had a higher percentage every year so it is more likely that they'd win.,NA,-13,It seems slightly skewed towards the blue side.,NA,NA,18 - 24,High school graduate,,,BlueLeft,Blue,Title,Control,None,Bar
122,Graphical chart,-13,,Blue,NA,-16,"There is a clear pattern that blue has been winning, so chances are likely.",NA,0,"The chart is showing facts, there is no evidence the information displayed is skewed.",NA,NA,25 - 34,4 year degree,How graphs affect opinions,none,BlueLeft,Blue,Title,Control,None,Bar
123,Graphical chart,-6,Blue,,11,NA,"historically the blue party has won. Additionally, members of that party are highly involved and therefore more likely to find success in mobilizing a voter base",1,NA,It does not seem biased and could have been made by anyone,1,NA,18 - 24,Some college,,,GreenLeft,Blue,Annotation,4,Blue,Bar
124,Graphical chart,-15,,Green,NA,7,green is trending upwards,NA,-23,Because of the title,NA,0,25 - 34,4 year degree,,,BlueLeft,Green,Title,3,Blue,Bar
125,Text,17,,Blue,NA,-19,Trends over multiple years indicate a student body preference for whatever platform Blue stands for.  The trend is reasonably solid so is unlikely to switch in just one year.,NA,0,It's factual representation so was created by anyone who put numbers into a graph generation spreadsheet.,NA,0,55 - 64,Professional degree,,,BlueLeft,Blue,Title,2,Blue,Bar
126,Graphical chart,-20,Green,,-13,NA,I based the decision on the trending of increased growth of the Green party over the last 3 years.,0,NA,"I think that in order for the graph to be presented as accurate, an un-biased party needs to have created the chart.",NA,NA,25 - 34,2 year degree,,,GreenLeft,Green,Annotation,Control,Green,Bar
127,Graphical chart,-18,Green,,-13,NA,The trend is shifting. The data indicates that the Green party's popularity has been growing and it is likely that Green would win the following election. ,-4,NA,This sort of chart could be used by the Green party to spur voters to join their side in the following elections since the margins are so close. They could pull the swing voters to choose their side in such close elections. ,-4,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Bar
128,Graphical chart,-6,Blue,,6,NA,The race is getting very close but I still think blue will win because of the past,0,NA,I think the data is objective and not favoring either party,0,NA,18 - 24,4 year degree,,,GreenLeft,Blue,Title,4,Blue,Bar
129,Text,5,,Green,NA,25,The graph is displaying a growing support of the green party.,NA,5,"This could be an attempt at propaganda to prompt the rise the green party, this could discourage blue party members from voting. ",NA,5,25 - 34,Some college,,,BlueLeft,Green,Title,2,Blue,Bar
130,Text,9,Green,,-13,NA,"Blue has a pattern of going staying stagnant, green has consistently gone up.",1,NA,"im not sure, the author is just displaying information.",0,NA,18 - 24,High school graduate,,,GreenLeft,Green,Annotation,3,Green,Bar
131,Text,13,Green,,-12,NA,they were trending upward each year,0,NA,"the blue also went up, so I don't think it was a biased party",NA,NA,18 - 24,4 year degree,,,GreenLeft,Green,Annotation,Control,Blue,Bar
132,Graphical chart,-10,Green,,-13,NA,Green votes have been rising ,0,NA,it is not obvious that it is either party.,1,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Bar
133,Graphical chart,-5,,Green,NA,13,"Green votes have been trending upwards, while blue votes are sporadic ",NA,4,I think the data favors the green party more,NA,5,18 - 24,Some college,,,BlueLeft,Green,Title,2,Blue,Bar
134,Graphical chart,-13,,Blue,NA,-13,The data for the last three years shows that blue is higher,NA,0,The vote is close and seems realistic,NA,0,55 - 64,Professional degree,,,BlueLeft,Blue,Annotation,3,Green,Bar
135,Graphical chart,-3,,Blue,NA,-16,"Although green is trending upwards, blue is still ahead, so I think they have a chance to win again.",NA,0,It doesn't seem to be a biased chart.,NA,NA,25 - 34,2 year degree,,,BlueLeft,Blue,Annotation,Control,Green,Bar
137,Graphical chart,-13,,Blue,NA,-15,"They have previously won the past 3 years. Although, Green does seem to be closing the gap each year so there is a possibility Green could win. ",NA,-13,The title of the chart sounds like it is in favor of Blue. ,NA,0,45 - 54,Some college,how people best understand info,,BlueLeft,Blue,Title,3,Blue,Bar
138,Text,13,,Green,NA,13,increasing over time while blue stagnates,NA,1,seems like generic graph,NA,2,25 - 34,Doctorate,biased information reporting,,BlueLeft,Green,Annotation,2,Blue,Bar
139,Graphical chart,-10,Blue,,18,NA,Blue has had the highest number of votes for all 3 years.,10,NA,They omitted the other two parties to show how dominant blue was over green.,NA,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,Control,None,Bar
140,Graphical chart,-9,,Blue,NA,-2,"Blue has maintained consistent support.   Also, they have been the majority/plurality in past elections.",NA,2,The headline could be read as beneficial to the Green Party.,NA,0,25 - 34,4 year degree,,,BlueLeft,Blue,Title,2,Green,Bar
141,Graphical chart,-12,,Blue,NA,-12,"blues majority just went above fifty percent.  they haven't lost any ground, green just seems to have taken a bunch of smaller party votes.",NA,13,They didn't include any other parties votes from previous years.  This way they made it seem like they were about to overtake.,NA,3,25 - 34,2 year degree,,,BlueLeft,Blue,Annotation,4,Green,Bar
142,Text,25,,Green,NA,9,They seem to be growing in popularity.,NA,6,It just seemed to favor green a little bit.,NA,7,25 - 34,4 year degree,,,BlueLeft,Green,Annotation,2,Blue,Bar
143,Graphical chart,-19,Green,,-2,NA,"Blue has seen a dip and increase, while Green has steadily increased its votes over the three years. It will be close, but I think green will come out on top.",1,NA,There is no indication that leads me to believe any of the two parties created the chart.,0,NA,18 - 24,4 year degree,How people perceive informational charts and texts,,GreenLeft,Green,Annotation,3,Blue,Bar
144,Graphical chart,-22,,Blue,NA,-4,"I think blue will win because it has historically won, but the gap between blue and green has been closing over the last several years so it is likely that the result will be very close or green could win.",NA,-5,"The title saying ""votes for blue greater than green"" rather than simply ""votes"" which suggests a bias towards blue",NA,0,18 - 24,High school graduate,,,BlueLeft,Blue,Title,2,Blue,Bar
145,Text,13,,Blue,NA,-25,the trend over the last 3 years ,NA,0,doesnt show any bias to me ,NA,0,25 - 34,Some college,no idea ,,BlueLeft,Blue,Annotation,2,Blue,Bar
146,Graphical chart,0,Green,,-13,NA,"increased voters overall, with more people also voting for green",0,NA,"ideally, it would be a neutral party and based off the graph, no explicit biases were shown towards one party or the other
",NA,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,Control,Green,Bar
147,Graphical chart,-19,Blue,,10,NA,cause Blue has gotten the most of the votes in the previous elections,0,NA,I don't have a reason to suspect that that the author has a basis ,0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,4,Green,Bar
148,Graphical chart,-12,Green,,-12,NA,Green has seen a steady increase over the years so I think it's likely that they'll only continue on that path.,-25,NA,The note about the green party and their club involvement makes it seem as though the green party is responsible. ,0,NA,25 - 34,4 year degree,,,GreenLeft,Green,Annotation,4,Green,Bar
149,Graphical chart,-12,,Green,NA,7,Green has been steadily growing in popularity over the years. I find it reasonable to assume this trend will continue and green will possibly manage to get slightly more votes than blue in year 4. ,NA,0,There's nothing to indicate any bias to either blue or green in the chart.,NA,0,25 - 34,High school graduate,,,BlueLeft,Green,Title,3,Green,Bar
150,Graphical chart,-5,Blue,,3,NA,"Even though Green is closing the gap, Blue had a higher turnout in year 3 that suggests Blue might slightly win.",-2,NA,I think Green did to produce a higher voter turnout to take the edge over Blue.,NA,NA,35 - 44,High school graduate,To see how people visualize data.,,GreenLeft,Blue,Title,Control,None,Bar
151,Graphical chart,-13,Blue,,7,NA,Blue has won the past 3 years but the gap has closed,1,NA,I just think a neutral party created the graph,1,NA,35 - 44,High school graduate,,Ni commemts,GreenLeft,Blue,Title,3,Blue,Bar
152,Graphical chart,-18,Blue,,12,NA,"Blue has consistently won, however the variance between the blue and green has been getting smaller, so it may be a tight race.",0,NA,Thereis no reason for me to believe the author was blue or green,NA,NA,45 - 54,Professional degree,How people read graphs,no,GreenLeft,Blue,Title,Control,None,Bar
153,Graphical chart,-3,,Green,NA,1,"green has been growing in popularity, even though blue always won before ",NA,-2,"A neutral party would have included parties other than blue and green, the scale of the y axis looks pretty even so it could be either side ",NA,NA,25 - 34,Professional degree,,,BlueLeft,Green,Title,Control,None,Bar
154,Graphical chart,-20,,Blue,NA,-8,"They win every time from what is shown in the chart, but also not by much.",NA,0,I don't see anything particularly unfair about how the data is represented so I wouldn't be surprised if it was a neutral party.,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
155,Graphical chart,-19,Green,,-13,NA,"Green shows a strong upward trend in popularity year-on-year, while blue is more varied. If green continues on its trend, then it'll surpass the number of votes blue has ever gotten, but there is still a chance blue gets more votes than green since there's not really a pattern to the number of votes they get unlike green.",0,NA,"There's nothing to indicate that this was written by an author of blue or green party to me. The scales aren't ""strategically modified"", and there's no other information presented to suggest that the author is a supporter of one party or the other (no manipulation of scales, colors, order of bars, etc.).",NA,NA,18 - 24,Some college,,,GreenLeft,Green,Annotation,Control,Blue,Bar
